total,copyLocatedTriples,total,copyLocatedTriples
1093,896   ,697,620
1755,1381  ,1057,787
2506,2010  ,1296,997
3414,2742  ,1573,1222
4116,3250  ,1764,1365
4513,3575  ,1918,1500
5345,4236  ,2138,1675
5964,4696  ,2305,1809
6746,5312  ,2549,2011
7312,5773  ,2742,2184
7852,6280  ,2929,2360
8931,7100  ,3212,2591
9526,7628  ,3317,2668
10086,8017 ,3465,2789
11107,8895 ,3642,2959
11967,9541 ,3791,3059
12758,10018,4012,3252
13026,10306,4159,3384
14366,11407,4448,3641
14221,11359,4662,3818
15458,12237,4792,3892
16541,13113,5048,4181
18832,14199,5208,4280
,,5188,4314
,,5311,4396
,,5249,4392
,,5652,4713
,,5766,4833
,,5899,4939
,,6056,5059
,,6204,5207
,,6384,5373
,,6589,5564
,,6771,5690
,,6890,5790
,,6970,5897
,,7223,6085
,,7310,6173
,,7540,6375
,,7825,6458
,,7695,6418
,,7897,6578
,,7966,6706
,,7888,6635
